"id","title","author","price","description","rating","num_of_rating","publisher","language","paperback","item_weight","dimensions"
8,"Head First Data Analysis: A learner's guide to big numbers, statistics, and good decisions","Michael Milton",32.65,"Determine which data sources to use for collecting information Assess data quality and distinguish signal from noise Build basic data models to illuminate patterns, and assimilate new information into the models Cope with ambiguous information Design experiments to test hypotheses and draw conclusions Use segmentation to organize your data within discrete market groups Visualize data distributions to reveal new relationships and persuade others Predict the future with sampling and probability models Clean your data to make it useful Communicate the results of your analysis to your audience Using the latest research in cognitive science and learning theory to craft a multi-sensory learning experience, Head First Data Analysis uses a visually rich format designed for the way your brain works, not a text-heavy approach that puts you to sleep. Highlight, take notes, and search in the book Highlight, take notes, and search in the book",4.2,147,"O'Reilly Media; 1st edition (September 1, 2009)","English","483","1.96 pounds","8 x 0.98 x 9.25 inches"
9,"Tableau Your Data!: Fast and Easy Visual Analysis with Tableau Software","Daniel G. Murray",29.25,"Tableau is designed specifically to provide fast and easy visual analytics. The intuitive drag-and-drop interface helps you create interactive reports, dashboards, and visualizations, all without any special or advanced training. This all new edition of Tableau Your Data! is your Tableau companion, helping you get the most out of this invaluable business toolset. Tableau Your Data! shows you how to build dynamic, best of breed visualizations using the Tableau Software toolset. This comprehensive guide covers the core feature set for data analytics, and provides clear step-by-step guidance toward best practices and advanced techniques that go way beyond the user manual. You'll learn how Tableau is different from traditional business information analysis tools, and how to navigate your way around the Tableau 9.0 desktop before delving into functions and calculations, as well as sharing with the Tableau Server. Analyze data more effectively with Tableau Desktop Customize Tableau's settings for your organization's needs with detailed real-world examples on data security, scaling, syntax, and more Deploy visualizations to consumers throughout the enterprise - from sales to marketing, operations to finance, and beyond Understand Tableau functions and calculations and leverage Tableau across every link in the value chain Learn from actual working models of the book's visualizations and other web-based resources via a companion website Tableau helps you unlock the stories within the numbers, and Tableau Your Data! puts the software's full functionality right at your fingertips. Premier guide with expert guidance on building dynamic, BI data visualizations Tableau Software is designed to provide fast and easy data visualization for business intelligence, and Tableau Your Data! is the ultimate guide to using it effectively. Expert discussion and plain-English explanations merge with full-color visuals and step-by-step instruction to demonstrate streamlined analytics workflow. Regardless of your level of BI analytics experience, you'll learn how to get more out of your data and build clear, accurate visualizations that support more informed decisions. Targeted real-world case studies show you how to leverage Tableau across the enterprise value chain. From the core features to the latest updates and new tools, this full-color guide is your one-stop resource for better data visualization. With full coverage of the Version 9.0 feature set, this second edition of Tableau Your Data! shows you how to: + Blend disparate data and build compelling visuals + Perform ad hoc visual analysis and performance-tune dashboards + Ensure security while scaling to a large user base + Customize settings to build more advanced chart types + Publish visualizations for mobile device viewing + Understand Tableau syntax, functions, and calculations + Analyze sales, financial, operational, spatial, marketing, and CRM data The companion website at www.wiley.com/go/tableauyourdata2e provides sample files, articles, working models, and examples that show you how to leverage new features as Tableau makes them available. Premier guide with expert guidance on building dynamic, BI data visualizations Tableau Software is designed to provide fast and easy data visualization for business intelligence, and Tableau Your Data! is the ultimate guide to using it effectively. Expert discussion and plain-English explanations merge with full-color visuals and step-by-step instruction to demonstrate streamlined analytics workflow. Regardless of your level of BI analytics experience, you'll learn how to get more out of your data and build clear, accurate visualizations that support more informed decisions. Targeted real-world case studies show you how to leverage Tableau across the enterprise value chain. From the core features to the latest updates and new tools, this full-color guide is your one-stop resource for better data visualization. With full coverage of the Version 9.0 feature set, this second edition of Tableau Your Data! shows you how to: + Blend disparate data and build compelling visuals + Perform ad hoc visual analysis and performance-tune dashboards + Ensure security while scaling to a large user base + Customize settings to build more advanced chart types + Publish visualizations for mobile device viewing + Understand Tableau syntax, functions, and calculations + Analyze sales, financial, operational, spatial, marketing, and CRM data The companion website at www.wiley.com/go/tableauyourdata2e provides sample files, articles, working models, and examples that show you how to leverage new features as Tableau makes them available. DANIEL G. MURRAY founded the InterWorks Tableau/BI practice in 2008, laying the foundation for InterWorks to become the premier Gold Professional Consulting Partner for Tableau Software. He is an in-demand speaker and was a Tableau Zen Master from 2014 to 2015. Highlight, take notes, and search in the book In this edition, page numbers are just like the physical edition",4.2,102,"Wiley; 2nd edition (January 26, 2016)","English","736","2.6 pounds","7.4 x 1.5 x 9 inches"
11,"Data Analysis Using SQL and Excel","Gordon S. Linoff",50,"Data Analysis Using SQL and Excel, 2nd Edition shows you how to leverage the two most popular tools for data query and analysis―SQL and Excel―to perform sophisticated data analysis without the need for complex and expensive data mining tools. Written by a leading expert on business data mining, this book shows you how to extract useful business information from relational databases. You'll learn the fundamental techniques before moving into the ""where"" and ""why"" of each analysis, and then learn how to design and perform these analyses using SQL and Excel. Examples include SQL and Excel code, and the appendix shows how non-standard constructs are implemented in other major databases, including Oracle and IBM DB2/UDB. The companion website includes datasets and Excel spreadsheets, and the book provides hints, warnings, and technical asides to help you every step of the way. Data Analysis Using SQL and Excel, 2nd Edition shows you how to perform a wide range of sophisticated analyses using these simple tools, sparing you the significant expense of proprietary data mining tools like SAS. Understand core analytic techniques that work with SQL and Excel Ensure your analytic approach gets you the results you need Design and perform your analysis using SQL and Excel Data Analysis Using SQL and Excel, 2nd Edition shows you how to best use the tools you already know to achieve expert results. Learn to perform sophisticated data analysis using SQL and Excel SQL is the essential language for querying databases, and Excel is the most popular tool for data presentation and analysis. Combined, they create a powerful, accessible tool for business data analysis. Many important types of analysis do not require complex and expensive data mining tools. The answers are on your desktop. This no-nonsense guide, written by a leading expert on business data mining, shows you how to design and perform sophisticated data analysis using SQL and Excel. The highly regarded first edition has been revised to cover the newest enhancements to SQL and Excel, including new techniques and real-world examples. This edition features the up-to-date information business managers and data analysts need. The book begins with the basics of SQL for data mining, Excel to present results, and simple ideas from statistics to understand your data. Core analytic techniques are explained as you learn to run them on real data using Excel and SQL. The chapters progress from basic queries to increasingly detailed applications as you learn why and when to perform specific types of analysis, how to design and perform them, and powerful ways of presenting the results. Each step explains the business context, the technical approach, and the implementation in these familiar tools. As you progress, you'll discover the importance of geography, how to chart changes in data over time, how to use survival analysis to understand customer tenure and churn, and the factors that affect survival. You will explore methods for analyzing customer purchases patterns, market basket analysis, and association rules. Included are important data mining models in SQL, linear regression models, naive Bayesian models, information on building a customer signature, methods for analyzing results, including cumulative gains charts and ROC charts, best practices for using SQL, and getting the best performance for your queries. With more than 100 pages of new material, the fully revised second edition of Data Analysis Using SQL and Excel enables you to: Understand core analytic techniques that work with SQL and Excel Analyze and interpret data in a table Present data professionally in Excel charts Apply the chi-square measure and other important statistical techniques in both SQL and Excel Understand best practices for SQL queries, with a chapter devoted to performance Use survival analysis to understand time-to-event problems, both for single events and for repeated events Use market basket analysis to understand purchasing behavior Identify the analytic approach that gets the result you're looking for Avoid common pitfalls Maximize the value of the data you have about your customers and your business The companion website includes datasets for all examples in the book as well as related Excel spreadsheets. www.wiley.com/go/dataanalysisusingsqlandexcel2e Learn to perform sophisticated data analysis using SQL and Excel SQL is the essential language for querying databases, and Excel is the most popular tool for data presentation and analysis. Combined, they create a powerful, accessible tool for business data analysis. Many important types of analysis do not require complex and expensive data mining tools. The answers are on your desktop. This no-nonsense guide, written by a leading expert on business data mining, shows you how to design and perform sophisticated data analysis using SQL and Excel. The highly regarded first edition has been revised to cover the newest enhancements to SQL and Excel, including new techniques and real-world examples. This edition features the up-to-date information business managers and data analysts need. The book begins with the basics of SQL for data mining, Excel to present results, and simple ideas from statistics to understand your data. Core analytic techniques are explained as you learn to run them on real data using Excel and SQL. The chapters progress from basic queries to increasingly detailed applications as you learn why and when to perform specific types of analysis, how to design and perform them, and powerful ways of presenting the results. Each step explains the business context, the technical approach, and the implementation in these familiar tools. As you progress, you'll discover the importance of geography, how to chart changes in data over time, how to use survival analysis to understand customer tenure and churn, and the factors that affect survival. You will explore methods for analyzing customer purchases patterns, market basket analysis, and association rules. Included are important data mining models in SQL, linear regression models, naive Bayesian models, information on building a customer signature, methods for analyzing results, including cumulative gains charts and ROC charts, best practices for using SQL, and getting the best performance for your queries. With more than 100 pages of new material, the fully revised second edition of Data Analysis Using SQL and Excel enables you to: Understand core analytic techniques that work with SQL and Excel Analyze and interpret data in a table Present data professionally in Excel charts Apply the chi-square measure and other important statistical techniques in both SQL and Excel Understand best practices for SQL queries, with a chapter devoted to performance Use survival analysis to understand time-to-event problems, both for single events and for repeated events Use market basket analysis to understand purchasing behavior Identify the analytic approach that gets the result you're looking for Avoid common pitfalls Maximize the value of the data you have about your customers and your business The companion website includes datasets for all examples in the book as well as related Excel spreadsheets. www.wiley.com/go/dataanalysisusingsqlandexcel2e GORDON S. LINOFF has been working with databases for more decades than he cares to admit. He starting learning about SQL by memorizing the SQL 92 standard while leading a development team (at the now-defunct Thinking Machines Corporation) writing the first high-performance database focused on the complex queries needed for decision support. After that endeavor, Gordon co-founded Data Miners in 1998, a consulting practice devoted to data mining, analytics, and big data. A constant theme in his work is dataand often data in relational databases. His SQL skills have only gotten stronger over the years. In 2014, he was the top contributor to Stack Overflow, the leading question-and-answer-site for technical questions. His other books include the bestselling Data Mining Techniques, Third Edition; Mastering Data Mining ; and Mining the Web which focus on data mining and analysis. This book follows on the popularity of the first edition, with a practical focus on how to actually get and interpret results. Highlight, take notes, and search in the book",4.4,104,"Wiley; 2nd edition (December 14, 2015)","English","800","2.95 pounds","7.4 x 1.7 x 9.2 inches"
17,"Storytelling with Data: A Data Visualization Guide for Business Professionals","Cole Nussbaumer Knaflic",24.99,"– $24.99 MP3 CD – $29.99 Description Editorial Reviews Understand the importance of context and audience Determine the appropriate type of graph for your situation Recognize and eliminate the clutter clouding your information Direct your audience's attention to the most important parts of your data Think like a designer and utilize concepts of design in data visualization Leverage the power of storytelling to help your message resonate with your audience praise for storytelling with data "" Storytelling with Data is a superbly written, masterful display of rare art in the business world. Cole Nussbaumer Knaflic possesses a unique abilitya giftin telling a story through data. At JPMorgan Chase, she has helped improve our capabilities to explain complicated analysis to executive management and the regulators with whom we work. Cole's book brings her talents together in an easy-to-read guide with excellent examples that anyone can learn from to encourage smarter decision-making. "" Mark R. Hillis, Chief Risk Officer of Mortgage Banking at JPM Chase ""We have so much data that it can be hard to get people to pay attention to our critical findings. Cole Nussbaumer Knaflic taught us valuable lessons in her workshop and it is fantastic to see these expanded upon in Storytelling with Data . My team is already using the lessons Cole teaches to move people to action as they see new pearls of understanding and make a difference in the lives of others. Now others can, too! "" Eleanor Bell, Director of Business Analytics at Bill & Melinda Gates Foundation ""There is something lovely about being consistent with your own teachings. Cole Nussbaumer Knaflic accomplishes that with her first book. She is an advocate for clarity and concision in visualization, and her book is as clear, concise, and practical as it gets. If you are a beginner in visualization, or if you struggle to produce good charts in your everyday job with tools like Excel, Tableau, Qlik, and the like, this is a great place to start learning the core principles ."" Alberto Cairo, Knight Chair in Visual Journalism and Professor of Visualization at the University of Miami, and author of The Functional Art ""Data slides are not really about the data, they are about the meaning of the data. Cole Nussbaumer Knaflic understands this and has written a straightforward, accessible guide that will help anyone who communicates with data connect more effectively with their audience. "" Nancy Duarte, CEO at Duarte, Inc. and bestselling author praise for storytelling with data "" Storytelling with Data is a superbly written, masterful display of rare art in the business world. Cole Nussbaumer Knaflic possesses a unique abilitya giftin telling a story through data. At JPMorgan Chase, she has helped improve our capabilities to explain complicated analysis to executive management and the regulators with whom we work. Cole's book brings her talents together in an easy-to-read guide with excellent examples that anyone can learn from to encourage smarter decision-making. "" Mark R. Hillis, Chief Risk Officer of Mortgage Banking at JPM Chase ""We have so much data that it can be hard to get people to pay attention to our critical findings. Cole Nussbaumer Knaflic taught us valuable lessons in her workshop and it is fantastic to see these expanded upon in Storytelling with Data . My team is already using the lessons Cole teaches to move people to action as they see new pearls of understanding and make a difference in the lives of others. Now others can, too! "" Eleanor Bell, Director of Business Analytics at Bill & Melinda Gates Foundation ""There is something lovely about being consistent with your own teachings. Cole Nussbaumer Knaflic accomplishes that with her first book. She is an advocate for clarity and concision in visualization, and her book is as clear, concise, and practical as it gets. If you are a beginner in visualization, or if you struggle to produce good charts in your everyday job with tools like Excel, Tableau, Qlik, and the like, this is a great place to start learning the core principles ."" Alberto Cairo, Knight Chair in Visual Journalism and Professor of Visualization at the University of Miami, and author of The Functional Art ""Data slides are not really about the data, they are about the meaning of the data. Cole Nussbaumer Knaflic understands this and has written a straightforward, accessible guide that will help anyone who communicates with data connect more effectively with their audience. "" Nancy Duarte, CEO at Duarte, Inc. and bestselling author Wiley Language: english Book - storytelling with data: a data visualization guide for business professionals Highlight, take notes, and search in the book In this edition, page numbers are just like the physical edition",4.6,4504,"Wiley; 1st edition (November 2, 2015)","English","288","2.31 pounds","7.3 x 0.6 x 9.2 inches"
20,"Introduction to Statistics: An Intuitive Guide for Analyzing Data and Unlocking Discoveries","Jim Frost",18.22,"Learn Statistics Without Fear! Build a solid foundation in data analysis. Be confident that you understand what your data are telling you and that you can explain the results to others! I'll help you intuitively understand statistics by using simple language and deemphasizing formulas. This guide starts with an overview of statistics and why it is so important. We proceed to essential statistical skills and knowledge about different types of data, relationships, and distributions. Then we move to using inferential statistics to expand human knowledge, how it fits into the scientific method, and how to design and critique experiments. Learn the fundamentals of statistics. Why is the field of statistics so vital in our data-driven society? Interpret graphs and summary statistics. Find relationships between different types of variables. Understand the properties of data distributions. Use measures of central tendency and variability. Interpret correlations and percentiles. Use probability distributions to calculate probabilities. Learn about the normal and binomial distributions in depth. Grasp the differences between descriptive and inferential statistics. Use data collection methodologies properly and understand sample size considerations. Design and critique scientific experiments—whether it's your own or another researcher's. Free access to downloadable datasets to follow along with the examples. About the Author Jim Frost has extensive experience using statistical analysis in academic research and consulting projects. He’s been performing statistical analysis on-the-job for over 20 years. For 10 of those years, he was a statistical software company helping others make the most out of their data. Jim loves sharing the joy of statistics. In addition to writing books, he has a statistics website and writes a regular column for the American Society of Quality's  Statistics Digest .",4.5,290,"Statistics By Jim Publishing (August 13, 2020)","English","255","12.2 ounces","6 x 0.58 x 9 inches"
21,"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street","Nick Singh, Kevin Huo",39.51,"COUNTERFEIT WARNING:  Do NOT buy Used books - there is a 90% chance the 3rd party is selling pirated books filled with typos, missing SQL questions, and bad print quality.  Only buy NEW! Authored by two Ex-Facebook employees,  Ace the Data Science Interview  is the best way to prepare for Data Science, Data Analyst, and Machine Learning interviews, so that you can land your dream job at FAANG, tech startups, or Wall Street. What's inside this 301 page book? 201 real Data Science interview questions asked by  Facebook ,  Google ,  Amazon ,  Netflix ,  Two Sigma,  Citadel  and more — with detailed step-by-step solutions! Learn how to break into Data Science, with tips on crafting your  resume , creating kick-ass  portfolio projects , sending networking  cold emails , and better telling your story during  behavioral interviews Questions cover the most frequently-tested topics in data interviews:  Probability ,  Statistics ,  Machine Learning ,  SQL & Database Design ,  Coding (Python) ,  Product Analytics , and  A/B Testing Each chapter has a brief crash-course on the most important concepts and formulas to review Learn how to solve open-ended case study questions that combine product-sense, business intuition, and statistical modeling skills, and practice with case interviews from  Airbnb, Instagram,  &  Accenture Praise for  Ace the Data Science Interview: ""The advice in this book directly helped me land my dream job""  — Advitya Gemawat, ML Engineer, Microsoft “An invaluable resource for the Data Science & ML community” — Aishwarya Srinivasan, Senior Data Scientist, Google “Graduate students should read this book for a structured approach to prep for their next data Science interview” — Ali Gowani, Faculty at Northwestern University (MS in Data Science).  “The authors explain exactly what hiring managers look for — a must read for any data job seeker” — Michelle Scarbrough, Former Data Analytics Manager, F500 Co. ""Super helpful career advice on breaking into data & landing your first job in the field"" — Prithika Hariharan, President of Waterloo Data Science Club; Data Science Intern, Wish “FINALLY! Cracking the Coding Interview but for Data Science & ML!” — Jack Morris, AI Resident, Google “Solving the 201 interview questions is helpful for people in ALL industries, not just tech!” — Lars Hulstaert, Senior Data Scientist, Johnson & Johnson About Kevin Huo: Kevin Huo is currently a Data Scientist at a  Hedge Fund , and previously was a Data Scientist at  Facebook  working on Facebook Groups. He holds a degree in Computer Science from the University of Pennsylvania and a degree in Business from Wharton. In college he interned at  Facebook ,  Bloomberg , and on  Wall Street . About Nick Singh: Nick Singh previously worked on  Facebook’s  Growth Team and at SafeGraph, a geospatial analytics startup. Currently, he runs SQL interview platform DataLemur.com and shares career tips on LinkedIn to his 120,000+ followers. Nick holds a degree in System Engineering with a minor in Computer Science from the University of Virginia. In college, he interned at  Microsoft  and at  Google’s  Nest Labs on the Data Infrastructure Team.",4.5,895,"Ace the Data Science Interview (August 16, 2021)","English","301","1.28 pounds","7 x 0.68 x 10 inches"
31,"The Kaggle Book: Data analysis and machine learning for competitive data science","Konrad Banachewicz, Luca Massaron, Anthony Goldbloom",44.53,"Get a step ahead of your competitors with insights from over 30 Kaggle Masters and Grandmasters. Discover tips, tricks, and best practices for competing effectively on Kaggle and becoming a better data scientist. Purchase of the print or Kindle book includes a free eBook in the PDF format. Key Features Learn how Kaggle works and how to make the most of competitions from over 30 expert Kagglers Sharpen your modeling skills with ensembling, feature engineering, adversarial validation and AutoML A concise collection of smart data handling techniques for modeling and parameter tuning Book Description Millions of data enthusiasts from around the world compete on Kaggle, the most famous data science competition platform of them all. Participating in Kaggle competitions is a surefire way to improve your data analysis skills, network with an amazing community of data scientists, and gain valuable experience to help grow your career. The first book of its kind, The Kaggle Book assembles in one place the techniques and skills you'll need for success in competitions, data science projects, and beyond. Two Kaggle Grandmasters walk you through modeling strategies you won't easily find elsewhere, and the knowledge they've accumulated along the way. As well as Kaggle-specific tips, you'll learn more general techniques for approaching tasks based on image, tabular, textual data, and reinforcement learning. You'll design better validation schemes and work more comfortably with different evaluation metrics. Whether you want to climb the ranks of Kaggle, build some more data science skills, or improve the accuracy of your existing models, this book is for you. Plus, join our Discord Community to learn along with more than 1,000 members and meet like-minded people! What you will learn Get acquainted with Kaggle as a competition platform Make the most of Kaggle Notebooks, Datasets, and Discussion forums Create a portfolio of projects and ideas to get further in your career Design k-fold and probabilistic validation schemes Get to grips with common and never-before-seen evaluation metrics Understand binary and multi-class classification and object detection Approach NLP and time series tasks more effectively Handle simulation and optimization competitions on Kaggle Who this book is for This book is suitable for anyone new to Kaggle, veteran users, and anyone in between. Data analysts/scientists who are trying to do better in Kaggle competitions and secure jobs with tech giants will find this book useful. A basic understanding of machine learning concepts will help you make the most of this book. Table of Contents Introducing Kaggle and Other Data Science Competitions Organizing Data with Datasets Working and Learning with Kaggle Notebooks Leveraging Discussion Forums Competition Tasks and Metrics Designing Good Validation Modeling for Tabular Competitions Hyperparameter Optimization Ensembling with Blending and Stacking Solutions Modeling for Computer Vision Modeling for NLP Simulation and Optimization Competitions Creating Your Portfolio of Projects and Ideas Finding New Professional Opportunities",4.4,130,"Packt Publishing (April 22, 2022)","English","534","2 pounds","7.5 x 1.21 x 9.25 inches"
39,"Effective Pandas: Patterns for Data Manipulation (Treading on Python)","Matt Harrison",24.15,"and more...",4.7,249,"Independently published (December 8, 2021)","English","497","1.92 pounds","7 x 1.17 x 9 inches"
46,"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition","Saurabh Shrivastava, Neelanjali Srivastav, Rajesh Sheth, Rohan Karmarkar, Kamal Arora",48.9,"From fundamentals and design patterns to the different strategies for creating secure and reliable architectures in AWS cloud, learn everything you need to become a successful solutions architect. Purchase of the print or Kindle book includes a free eBook in the PDF format. Endorsements ""For new or existing solutions architects looking to keep their skills sharp in the cloud era, this book hits all the key areas."" -Rajesh Sheth, GM, Messaging and Streaming, AWS ""...the go-to guide for understanding various functions in the age of cloud computing."" -Rohan Karmarkar, Director, Solutions Architecture, AWS ""...you will find very important nuggets of knowledge that will help you be a successful solutions architect, and open up a new world of infinite possibilities!"" -Kamal Arora, Senior Manager, Solutions Architecture, AWS Book Description Becoming a solutions architect requires a hands-on approach, and this edition of the Solutions Architect's Handbook brings exactly that. This handbook will teach you how to create robust, scalable, and fault-tolerant solutions and next-generation architecture designs in a cloud environment. It will also help you build effective product strategies for your business and implement them from start to finish. This new edition features additional chapters on disruptive technologies, such as Internet of Things (IoT), quantum computing, data engineering, and machine learning. It also includes updated discussions on cloud-native architecture, blockchain data storage, and mainframe modernization with public cloud. The Solutions Architect's Handbook provides an understanding of solution architecture and how it fits into an agile enterprise environment. It will take you through the journey of solution architecture design by providing detailed knowledge of design pillars, advanced design patterns, anti-patterns, and the cloud-native aspects of modern software design. By the end of this handbook, you'll have learned the techniques needed to create efficient architecture designs that meet your business requirements. What you will learn Explore the various roles of a solutions architect in the enterprise landscape Implement key design principles and patterns to build high-performance cost-effective solutions Choose the best strategies to secure your architectures and increase their availability Modernize legacy applications with the help of cloud integration Understand how big data processing, machine learning, and IoT fit into modern architecture Integrate a DevOps mindset to promote collaboration, increase operational efficiency, and streamline production Who this book is for This book is for software developers, system engineers, DevOps engineers, architects, and team leaders who already work in the IT industry and aspire to become solutions architect professionals. Existing solutions architects who want to expand their skillset or get a better understanding of new technologies will also learn valuable new skills. To get started, you'll need a good understanding of the real-world software development process and general programming experience in any language.",4.6,478,"Packt Publishing; 2nd ed. edition (January 17, 2022)","English","590","2.2 pounds","7.5 x 1.33 x 9.25 inches"
49,"Python Programming and SQL: 5 books in 1 - The #1 Coding Course from Beginner to Advanced. Learn it Well & Fast (2023) (Computer Programming)","Mark Reed",26.55,"Supercharge Your Career with Python programming and SQL: The #1 Coding Course from Beginner to Advanced (2024) Are you looking to turbocharge your career prospects? Do you want to gain the skills that are in high demand in today's job market? Whether you're a complete beginner or an experienced programmer,  this #1 bestseller book  is designed to make your learning journey simple, regardless of your current skills. It aims to guide you seamlessly through the content and f ast-track your career in no time. This 5-in-1 guide covers both Python and SQL fundamental and advanced concepts,  ensuring that you not only gain a comprehensive understanding but also  stand out among your peers and stay ahead of the competition: ✅  Step-by-Step Instructions:  This easy-to-understand guide provides step-by-step instructions, making it effortless to grasp Python and SQL fundamentals. ✅  Fast Learning Curve:  Progress rapidly from beginner to advanced levels with our carefully crafted curriculum. Gain confidence to tackle coding challenges. ✅  Boost Your Career:  Acquire sought-after skills desired by employers, making you stand out in the job market. Get job-ready and attractive to potential employers. ✅  Competitive Edge:  Stand out among peers with our cutting-edge course covering fundamentals and advanced concepts. Your coding proficiency will make you invaluable to any organization. ✅  Versatile Job Opportunities:  Python and SQL open doors in tech, data analysis, web development, and more. Stay ahead of the competition. ✅  Start Writing Your Own Programs:  Empower yourself to create efficient code, unleash creativity, and achieve peak performance. ✅  Real-World Projects:  Gain practical experience through hands-on projects, showcasing your coding expertise effectively. ✅  Expert Guidance:  Acquire practical skills and knowledge from expert guidance to become a proficient programmer. Here are just a few things you'll learn in Python programming and SQL: Get started with Python programming, covering variables, functions, loops, and conditionals Discover how to work with data in Python, including data types, structures, and manipulation techniques Learn different data structures, such as sequences, tuples, lists, matrices, and dictionaries Understand conditional statements and their role in decision making Discover object-oriented programming (OOP) and learn how to define classes and methods. Discover the art of exception handling, ensuring robust and error-free code Explore the power of algorithms, information processing and master the essential features of algorithms Master file processing in Python, including opening, reading, writing, and appending files, etc. Master SQL essentials such as basics of SQL, data types, statements, and clauses Work with databases using SQL, including creating, modifying, and deleting tables and records. Learn powerful queries: Perform joins, unions, ordering, grouping, and utilize aliases for advanced SQL queries Explore efficient data management: Navigate MySQL, work with databases, tables, and views Advanced techniques: explore stored procedures, indexing, truncating, and working with triggers Master data optimization: Fine-tune SQL queries for optimal performance and efficiency Gain practical skills and techniques that you can directly apply in you career And much, much more... Whether you are a novice or an experienced programmer, this guide aims to make it simple for you to begin your journey and fast-track your career in no time. Get your copy now and unlock your full coding potential today!",4.7,315,"Independently published (January 10, 2023)","English","572","2.37 pounds","7 x 1.29 x 10 inches"
