"review_id","reviewer_name","review_rating","review_title","review_date","review_content","book_id"
1,"Foram",5,"Data Science Complete Guide","2023-10-10","Data science is a vast field and what everyone mostly struggles with is wrapping their head around what all to study and how to prepare for it. This book covers everything with some real world tips that you will need to be successful. Don’t think and just buy it.",1
2,"CHANG LIU",5,"Very helpful!","2023-10-06","It's an amazing book for candidates in data science to prepare not only the coding part, but also conceptual and situational questions, it is truly useful as data science interviews normally cover a much wider range of topics compared to engineering interviews. Preparing DS interviews just became a lot easier and more structured because of this book.",1
3,"Sam",5,"Comprehensive for most Data Scientist Interviews","2023-09-11","As someone that conducts data science interviews, I still reference this book when applying for my own new positions and when encountering different interview styles. Caveat I'm not from a FAANG background but I see extremely different approaches to data science technical interviews. A book like this is help for most of them but if you are going for something like ML Engineering you'll find the book lacks reference in system design topics.",1
4,"Amazon Customer",5,"Practical and current","2023-09-24","Finished reading the first half of the book. Great for those who just started out paving their ways into data science!",1
5,"samit",4,"All the important topics in one book","2023-07-31","The book covers all the important topics needed for data science interview, but the explanation seems to be similar to original books. They have written the explanation with real world examples in a way so that it can be discussed simply during the interview.",1
6,"Jinsong",5,"Comprehensive Book","2023-08-31","The book is comprehensive and covers a wide breadth of topics. That being said, the book is an overall excellent guide to prepare for interviews by touching on various topics and offering abundant example questions!",1
7,"Shivaani Krishnakumar",4,"Love this book and highly recommend it","2023-07-21","My most favorite part of this book is the case study! I always like to think through a problem from a business perspective and not just the technical aspect since in python everything is available as libraries, technical side becomes pretty straightforward. Each of the case studies in this book were gold <3",1
8,"Allen Xu",5,"Verified Purchase - Works as recommended","2023-08-16","The book gives good structure and understanding of how much understanding is needed in respective areas so that candidates are not lost or feeling overwhelmed with all the Data Science and ML/AI informantion out there",1
9,"Maggie",5,"Helpful for all DS majors","2023-08-16","This book contains everything I need to know and gives me a broad picture of how to prepare my interviews. Highly recommend! There are also many tips that are very crucial during interviews.",1
10,"Suresh Mallina",5,"Loved the practice questions","2023-08-01","Very well thought out and helpful book when preparing for ds/ data analytics interviews. I thought the explanations for sample questions were very thorough and the frameworks provided for answering product sense questions were useful.",1
11,"Will ",5,"Great","2022-05-10","This has helped me strengthen my understanding of SQL and broaden my use of different techniques",4
12,"TSR",5,"Awesome book but","2022-08-23","Default price lately with O'Reilly is $40. Ugh. It's a technical book not a coffee table book",4
13,"S. Ballew",1,"Correct cover, wrong book....","2022-10-03","This review is not about quality of Cathy's book...which I'd love to review. It's about the quality from O'Reilly and Amazon. The book I received has the cover for SQL for Data Analysis...but the book/pages contained inside is for AWS Cookbook by John Culkin....so...don't judge a book by it's cover....",4
14,"Amazon Customer",2,"Organization is lacking","2022-09-11","I'm just starting out, and I'm finding the little examples in Ch. 2 meaningless without accompanying databases/code exercises.  Perhaps they'll be more meaningful with sample databases that are given later in the text.  That's offputting considering there is a GitHub repository.  Why not take full advantage of supplemental resources to make the examples more meaningful?",4
15,"Pearlo",5,"Realistic use cases","2022-01-05","Examples in the book are the most realistic use cases of sql in product analytics I’ve come across.. highly recommended!!..",4
16,"Guillem Clot Massons",5,"","2022-03-12","Good guide to understand SQL and all its possibilities, mostly when nowadays Python and R hog all data analysis studies. However the scope of this book doesn't go beyond RDBS, so streaming (like KafkaSql) or text engines (like ElasticSearch using sql) are not mentioned.",4
17,"Tom Battaglia",5,"","2022-10-16","Started a new Data Analyst job which uses mostly SQL. This book has helped enormously in learning the ins and outs of DA with SQL and I suspect will be useful as a reference text going forward.",4
18,"Ryan D.",5,"The Aha Moment","2023-10-08","I wish I found this book sooner for my ML AI coursework.  This book has made such a difference in my comprehension of statistics and its concepts.  I purchased his two other books out of faith that they too would get me where I need to be with hypothesis testing and regression.",5
19,"Robert A. Saunders",3,"Mostly good, but flawed","2023-07-31","The book is missing some key formulas, as well as data to support a particular example. There is no discussion of the Poisson distribution.",5
20,"T",5,"Focus on concepts and practices to perform analysis and correctly interpret results","2022-10-02","Found Mr. Jim Frost’s incredibly helpful blog first, then discovered he has also published books for further understanding. Well-written for the novice or advanced reader interested in statistics, hypothesis testing, analyzing data, other. Arranged so your choice of statistical software can be used to handle the calculations (equations can be found in most textbooks if desired), you get right into learning concepts and practices needed to know how to perform the analysis and interpret results correctly.",5
21,"Peter R.",5,"Best Stats Book Yet","2023-02-24","I've been learning statistics on my own for the better part of a year. This brought all the material together in small and large detail and in plain English.",5
22,"NoneOfYourBiz",2,"Not just basic, but very basic.","2023-06-16","It is okay but superficial, if you have any knowledge of statistics don't buy this book.",5
23,"Allison Loves Math",5,"Fantastic, Friendly, Useful Statistics Book","2021-06-01","Love the author's style of writing. He's a famous Stats blogger at statisticsbyhim.com and his writing is super friendly, easy to read, easy to understand, and enjoyable, which is all quite impressive for the topic of Statistics. This book is a blend of what you learn in the classroom and what you use in practice. As a Stats teacher, I find it immensely helpful. It's also a great book for students and those in industry. Highly recommend!",5
24,"Amazon Customer",5,"Readable!!!","2022-06-10","Very well written; therefore, very instructive.",5
25,"Kindle Customer",5,"I loved this introduction","2021-10-27","This book presented as the fundamental",5
26,"Richie the Reviewer",5,"Excellent Intro Book","2021-11-13","This is written to a level appropriate for readers looking for a better understanding of basic statistics.",5
